amfi_code,sortino_ratio
100016,-0.35104746015230903
100025,-0.9418212366054205
100033,1.8291339615146938
101206,1.7995628746984516
101207,0.2766437962609232
101208,-1.681037866751286
102885,1.435742013064949
102886,-0.34722230254727254
102887,1.0887552508030016
118632,1.8501325468557266
118633,1.1544757169236242
118634,0.7460146308533572
118635,1.1379767187807421
118636,-0.6135251287271027
119092,0.05257398559304799
119093,0.22108683979276364
119094,1.703797480246301
119095,-0.12818559275851948
119120,-0.37676700817066666
119551,2.140267129061794
119552,1.6097764896283084
119598,1.6753165700125519
119599,-0.09438726129459621
120503,1.3379431500669232
120504,1.8052937940992548
120505,2.029352940465747
120506,1.0958951614736472
120507,1.052123882260927
120841,0.8625738849916591
120842,0.12469346986475659
120843,2.3643200321667175
120844,-0.18772304774242665
125497,1.3306512447571366
125498,0.5088128197169234
148567,2.3856443733688177
148568,1.6327409778735174
148569,2.146913926346056
149322,0.7621288703723165
149323,1.8751010639192085
149324,1.6197931764914106
